rule_id,rule_title,mitre_technique_id,mitre_technique_name,mitre_tactic,source_file,platform
100052,Critical system file modified - Possible system compromise,T1078,Valid Accounts,,content/detection-rules/wazuh/rules/wazuh-052-file-integrity-critical-system.xml,
100053,Rootkit or backdoor detected on system,T1014,Rootkit,,content/detection-rules/wazuh/rules/wazuh-053-rootkit-detection.xml,
100055,Malware detected by VirusTotal - Multiple AV engines flagged file,T1204,User Execution,,content/detection-rules/wazuh/rules/wazuh-055-malware-detection-virustotal.xml,
100056,Anomalous process detected - Unusual execution pattern,T1059,Command and Scripting Interpreter,,content/detection-rules/wazuh/rules/wazuh-056-process-anomaly-detection.xml,
100060,Privileged account used during off-hours - Possible unauthorized access,T1078.002,Valid Accounts: Domain Accounts,,content/detection-rules/wazuh/rules/wazuh-060-unauthorized-privileged-account-use.xml,
100062,Ransomware activity detected - Mass file encryption in progress,T1486,Data Encrypted for Impact,,content/detection-rules/wazuh/rules/wazuh-062-file-encryption-ransomware.xml,
100064,Impossible travel detected - User logged in from distant location too quickly,T1078,Valid Accounts,,content/detection-rules/wazuh/rules/wazuh-064-impossible-travel-detection.xml,
100065,AWS S3 bucket made publicly accessible - Potential data exposure,T1530,Data from Cloud Storage Object,,content/detection-rules/wazuh/rules/wazuh-065-aws-s3-bucket-public-exposure.xml,Aws
100066,Privileged account password changed via sudo - Verify authorization,T1098,Account Manipulation,,content/detection-rules/wazuh/rules/wazuh-066-linux-suspicious-sudo-password-change.xml,Linux
100074,Container escape attempt detected - Privileged container or namespace manipulation,T1611,Escape to Host,Privilege Escalation,content/detection-rules/wazuh/rules/wazuh-074-container-escape-attempt.xml,Linux; Container
100061,Port scan detected - Multiple connection attempts from same source,T1046,Network Service Discovery,Reconnaissance,content/detection-rules/wazuh/rules/wazuh-061-port-scan-detection.xml,Network
100063,Large outbound data transfer detected - Possible data exfiltration,T1041,Exfiltration Over C2 Channel,Exfiltration,content/detection-rules/wazuh/rules/wazuh-063-data-exfiltration-detection.xml,Network
100067,DNS tunneling detected - Abnormally long or frequent DNS queries,T1071.004,Application Layer Protocol: DNS,Command And Control,content/detection-rules/wazuh/rules/wazuh-067-dns-tunneling-detection.xml,Network
100054,Possible SQL injection or XSS attack detected,T1190,Exploit Public-Facing Application,,content/detection-rules/wazuh/rules/wazuh-054-web-attack-sql-injection.xml,Web
100057,Windows Defender has been disabled - Possible defense evasion,T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion,content/detection-rules/wazuh/rules/wazuh-057-windows-defender-disabled.xml,Windows
100058,PowerShell downloading content from external source,T1059.001,PowerShell,Command And Control,content/detection-rules/wazuh/rules/wazuh-058-suspicious-powershell-download.xml,Windows
100059,New Windows service installed on system,T1543.003,Create or Modify System Process: Windows Service,Persistence,content/detection-rules/wazuh/rules/wazuh-059-new-service-creation.xml,Windows
100059001,Suspicious Windows service created - Unusual executable path,T1543.003,Create or Modify System Process: Windows Service,Persistence,content/detection-rules/wazuh/rules/wazuh-059-new-service-creation.xml,Windows
100068,Scheduled task created via XML import - Review task contents,T1053.005,Scheduled Task/Job,Persistence,content/detection-rules/wazuh/rules/wazuh-068-suspicious-scheduled-task-xml.xml,Windows
100068001,Suspicious scheduled task created via XML from unusual location,T1053.005,Scheduled Task/Job,Persistence,content/detection-rules/wazuh/rules/wazuh-068-suspicious-scheduled-task-xml.xml,Windows
100069,PsExec service detected - Possible lateral movement,T1570,Lateral Tool Transfer,Lateral Movement,content/detection-rules/wazuh/rules/wazuh-069-lateral-movement-psexec.xml,Windows
100069001,Multiple PsExec service installations across hosts - Active lateral movement,T1570,Lateral Tool Transfer,Lateral Movement,content/detection-rules/wazuh/rules/wazuh-069-lateral-movement-psexec.xml,Windows
100070,Registry autorun key modified - Possible persistence mechanism,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys,,content/detection-rules/wazuh/rules/wazuh-070-registry-autorun-modification.xml,Windows
100070001,Suspicious registry autorun key - Points to unusual location or script,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys,,content/detection-rules/wazuh/rules/wazuh-070-registry-autorun-modification.xml,Windows
100071,Suspicious process spawned from WMI - Possible remote execution,T1047,Windows Management Instrumentation,,content/detection-rules/wazuh/rules/wazuh-071-suspicious-wmi-process-creation.xml,Windows
100072,Kerberoasting detected - Multiple TGS requests with RC4 encryption,T1558.003,Steal or Forge Kerberos Tickets: Kerberoasting,Credential Access,content/detection-rules/wazuh/rules/wazuh-072-kerberoasting-detection.xml,Windows
100075,LSASS memory dump detected using comsvcs.dll - Credential theft attempt,T1003.001,OS Credential Dumping: LSASS Memory,Credential Access,content/detection-rules/wazuh/rules/wazuh-075-credential-dumping-comsvcs.xml,Windows
100073,Multiple administrative share access attempts - Possible lateral movement,T1021.002,Remote Services: SMB/Windows Admin Shares,Lateral Movement,content/detection-rules/wazuh/rules/wazuh-073-suspicious-network-share-access.xml,Windows; Network
2a3b4c5d-6e7f-8a9b-0c1d-2e3f4a5b6c7d,Linux Command History Access,T1552.003,Shell History,Collection; Credential Access,content/detection-rules/sigma/collection/linux_history_access.yml,linux
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,SSH Private Key Access,T1552.004,Private Keys,Credential Access,content/detection-rules/sigma/credential-access/credential_access_ssh_keys.yml,linux
8e5f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b,Linux Password File Access,T1003.008,/etc/passwd and /etc/shadow,Credential Access,content/detection-rules/sigma/credential-access/passwd_shadow_access.yml,linux
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Linux Log File Deletion,T1070.002,Clear Linux or Mac System Logs,Defense Evasion,content/detection-rules/sigma/defense-evasion/indicator_removal_linux.yml,linux
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,Linux Network Discovery,T1016,System Network Configuration Discovery,Discovery,content/detection-rules/sigma/discovery/linux_network_discovery.yml,linux
0b1c2d3e-4f5a-6b7c-8d9e-0f1a2b3c4d5e,Suspicious Bash Command Execution,T1059.004,Unix Shell,Execution,content/detection-rules/sigma/execution/linux_bash_suspicious.yml,linux
2e3f4a5b-6c7d-8e9f-0a1b-2c3d4e5f6a7b,Linux SCP Data Exfiltration,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,content/detection-rules/sigma/exfiltration/linux_scp_exfil.yml,linux
4e5f6a7b-8c9d-0e1f-2a3b-4c5d6e7f8a9b,Linux Data Destruction Commands,T1485,Data Destruction,Impact,content/detection-rules/sigma/impact/linux_data_destruction.yml,linux
1e2f3a4b-5c6d-7e8f-9a0b-1c2d3e4f5a6b,Suspicious SSH Connection,T1021.004,SSH,Lateral Movement,content/detection-rules/sigma/lateral-movement/ssh_lateral_movement.yml,linux
0d1e2f3a-4b5c-6d7e-8f9a-0b1c2d3e4f5a,Linux Shell Profile Modification,T1546.004,Unix Shell Configuration Modification,Persistence; Privilege Escalation,content/detection-rules/sigma/persistence/linux_bashrc_modification.yml,linux
8b9c0d1e-2f3a-4b5c-6d7e-8f9a0b1c2d3e,Linux Cron Job Persistence,T1053.003,Cron,Persistence; Execution,content/detection-rules/sigma/persistence/linux_cron_persistence.yml,linux
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Suspicious Systemd Service Creation,T1543.002,Systemd Service,Persistence,content/detection-rules/sigma/persistence/linux_systemd_service.yml,linux
0b1c2d3e-4f5a-6b7c-8d9e-0f1a2b3c4d5e,Suspicious Kernel Module Load,T1547.006,Kernel Modules and Extensions,Persistence; Privilege Escalation,content/detection-rules/sigma/privilege-escalation/kernel_module_load.yml,linux
6d7e8f9a-0b1c-2d3e-4f5a-6b7c8d9e0f1a,Suspicious Sudo Command Execution,T1548.003,Sudo and Sudo Caching,Privilege Escalation,content/detection-rules/sigma/privilege-escalation/sudo_abuse.yml,linux
